center_age,age_min,age_max,edu_group,baseline,recent,delta_recent_minus_baseline
19,18,20,< HS,0.0023811348801609806,-0.023469055727187535,-0.025850190607348514
19,18,20,HS+ (no BA),0.01022448363739401,0.01249937683913771,0.0022748932017437
20,19,21,< HS,0.021499058246165263,-0.0095312742170167,-0.031030332463181966
20,19,21,HS+ (no BA),0.006371232418761936,0.011207570925489279,0.004836338506727343
21,20,22,< HS,0.020802992862884173,-0.015719570212803527,-0.0365225630756877
21,20,22,HS+ (no BA),0.005336664268323174,0.009083560126027889,0.0037468958577047146
22,21,23,< HS,0.024789395353338236,-0.01731344760918226,-0.042102842962520495
22,21,23,College+,0.006879328144369998,0.018982155213004444,0.012102827068634445
22,21,23,HS+ (no BA),0.00614915173346547,0.0076165539274641704,0.0014674021939987004
23,22,24,< HS,0.02394690958554592,-0.01830037612889355,-0.04224728571443947
23,22,24,College+,0.007638371824131349,0.01723686329352947,0.009598491469398122
23,22,24,HS+ (no BA),0.009213974731086934,0.006350683845678285,-0.0028632908854086484
24,23,25,< HS,0.023987638523361728,-0.006535346321651527,-0.030522984845013253
24,23,25,College+,0.0061152842559699045,0.01561951834144211,0.009504234085472206
24,23,25,HS+ (no BA),0.010195032452806506,0.0077238168292944566,-0.002471215623512049
25,24,26,< HS,0.016976641142267327,-0.00948817399673647,-0.026464815139003797
25,24,26,College+,0.005740683349352084,0.014759337111059246,0.009018653761707162
25,24,26,HS+ (no BA),0.010637613788980909,0.011229500739920005,5.918869509390964e-4
26,25,27,< HS,0.018042576055278255,-0.0031525306754083345,-0.02119510673068659
26,25,27,College+,0.004457119226608237,0.013445596302698558,0.00898847707609032
26,25,27,HS+ (no BA),0.010170104236535752,0.012411366560718068,0.0022412623241823155
27,26,28,< HS,0.014931155014961147,-0.005835225442414302,-0.020766380457375447
27,26,28,College+,0.0033234997437878422,0.01109567601550915,0.007772176271721307
27,26,28,HS+ (no BA),0.010169950441381841,0.011611483462585332,0.0014415330212034904
28,27,29,< HS,0.013960701710024273,0.0029806204672192527,-0.01098008124280502
28,27,29,College+,0.002653968146979578,0.009507387864790006,0.006853419717810429
28,27,29,HS+ (no BA),0.00917214582717836,0.010955524539034645,0.0017833787118562844
29,28,30,< HS,0.005677650212569872,-0.0011438711238417178,-0.006821521336411589
29,28,30,College+,0.0020367161917477328,0.008960617762009201,0.006923901570261468
29,28,30,HS+ (no BA),0.00860514355226229,0.008772060835825468,1.669172835631772e-4
30,29,31,< HS,0.0038498192765615996,9.124405800350674e-4,-0.0029373786965265322
30,29,31,College+,0.0019414797980517287,0.00915611716666658,0.007214637368614852
30,29,31,HS+ (no BA),0.00903373813896001,0.008075011214585603,-9.587269243744069e-4
31,30,32,< HS,0.004237410330471071,0.0125030135281486,0.008265603197677529
31,30,32,College+,0.002129731286229441,0.008632912865462701,0.0065031815792332606
31,30,32,HS+ (no BA),0.009906363730511182,0.0067443231751117255,-0.003162040555399457
32,31,33,< HS,0.007352415094086606,0.013413491535520208,0.006061076441433602
32,31,33,College+,0.002243385864145223,0.006291390527339098,0.004048004663193875
32,31,33,HS+ (no BA),0.010013150360309876,0.00814810954191577,-0.001865040818394106
33,32,34,< HS,0.0013837529110446451,0.015754474673447438,0.014370721762402793
33,32,34,College+,0.0017861274881937775,0.004675678303090326,0.002889550814896549
33,32,34,HS+ (no BA),0.009579095961835406,0.008133967029925668,-0.0014451289319097373
34,33,35,< HS,-0.004871281346816659,0.010178583126937656,0.015049864473754315
34,33,35,College+,0.0015841038796719725,0.0030775262467640763,0.0014934223670921038
34,33,35,HS+ (no BA),0.00898137035902068,0.010158302001676948,0.0011769316426562676
35,34,36,< HS,-0.0075492266921742945,0.009712755655164898,0.017261982347339194
35,34,36,College+,0.0013081404867349954,0.0030400877759853705,0.0017319472892503751
35,34,36,HS+ (no BA),0.008422225767464122,0.010186606521617424,0.0017643807541533017
36,35,37,< HS,-0.006080325813744509,0.01003621948390257,0.01611654529764708
36,35,37,College+,0.0017800338142043655,0.0037468327002871168,0.001966798886082751
36,35,37,HS+ (no BA),0.007147642321358569,0.01099604437908844,0.0038484020577298703
37,36,38,< HS,-0.004822992224945748,0.005701974118464699,0.010524966343410446
37,36,38,College+,0.001326340125047529,0.004437871791743192,0.003111531666695663
37,36,38,HS+ (no BA),0.006870912896542514,0.008745608809327043,0.0018746959127845294
38,37,39,< HS,-0.004846443704056171,0.005035426225419859,0.009881869929476029
38,37,39,College+,0.0013640816058708512,0.004114705661898178,0.002750624056027327
38,37,39,HS+ (no BA),0.006405017883221484,0.007002195239288853,5.971773560673691e-4
39,38,40,< HS,-0.002629991373692516,0.0024479319568942834,0.005077923330586799
39,38,40,College+,0.0010014504838998738,0.003650196150085717,0.002648745666185843
39,38,40,HS+ (no BA),0.006266701506156156,0.005913585233474973,-3.5311627268118286e-4
40,39,41,< HS,-0.002581651596491097,-0.002560397161312965,2.1254435178131876e-5
40,39,41,College+,0.0012366890140239767,0.0018302632522865074,5.935742382625307e-4
40,39,41,HS+ (no BA),0.005654582394472096,0.006826572250782746,0.00117198985631065
41,40,42,< HS,-0.004138472753319,-5.413674660464949e-4,0.003597105287272505
41,40,42,College+,0.0017498931291056678,0.0023604537295893783,6.105606004837105e-4
41,40,42,HS+ (no BA),0.005191554068105326,0.007010681136196511,0.0018191270680911848
42,41,43,< HS,-0.005587430631828783,-0.002366960900033916,0.003220469731794867
42,41,43,College+,0.0019901266933373615,0.001670821586620646,-3.193051067167155e-4
42,41,43,HS+ (no BA),0.005687020530091792,0.006541247901726074,8.542273716342823e-4
43,42,44,< HS,-0.006707165026503304,0.002376645549225988,0.009083810575729292
43,42,44,College+,0.0025903761309378844,0.0030347231924346056,4.4434706149672123e-4
43,42,44,HS+ (no BA),0.005667835122365971,0.005275225197058807,-3.926099253071637e-4
44,43,45,< HS,-0.005494375002128243,0.0012757125497499424,0.006770087551878186
44,43,45,College+,0.0026117719600728573,0.002805490991663818,1.937190315909605e-4
44,43,45,HS+ (no BA),0.006021623690562952,0.006116403769442097,9.478007887914544e-5
45,44,46,< HS,-0.004593107311088286,1.5673628175692626e-4,0.004749843592845212
45,44,46,College+,0.0025545861455991683,0.003203610304697186,6.490241590980175e-4
45,44,46,HS+ (no BA),0.005535806523815185,0.005963969908999809,4.281633851846243e-4
46,45,47,< HS,2.416092286540078e-4,0.001153017223173143,9.114079945191353e-4
46,45,47,College+,0.0020759135370318075,0.0036407246847826582,0.0015648111477508508
46,45,47,HS+ (no BA),0.006147741692087632,0.0053592631658984065,-7.884785261892254e-4
47,46,48,< HS,0.0019200785505821298,9.646481242966019e-4,-9.554304262855279e-4
47,46,48,College+,0.0015838644381959424,0.0037240215433422684,0.002140157105146326
47,46,48,HS+ (no BA),0.005779260920023366,0.004605630413054793,-0.0011736305069685732
48,47,49,< HS,0.003063559333056912,0.0029380238802937044,-1.2553545276320754e-4
48,47,49,College+,0.0015474855137546316,0.0032965451367188104,0.0017490596229641788
48,47,49,HS+ (no BA),0.005673506595977585,0.004236371920342071,-0.0014371346756355142
49,48,50,< HS,-8.046938305388843e-5,-0.0012683040696552252,-0.0011878346866013368
49,48,50,College+,0.0020370304030973016,0.0020020757160985297,-3.495468699877191e-5
49,48,50,HS+ (no BA),0.004709019641700042,0.004353389600192666,-3.5563004150737654e-4
50,49,51,< HS,4.139823340829259e-4,-0.0028733688254901175,-0.0032873511595730436
50,49,51,College+,0.003310170299771206,0.002098113599776143,-0.0012120566999950632
50,49,51,HS+ (no BA),0.005251917481970846,0.004361642788638301,-8.90274693332545e-4
51,50,52,< HS,2.838575150911179e-4,-0.0020211673361751207,-0.0023050248512662386
51,50,52,College+,0.003587198748585063,0.0019016658172486085,-0.0016855329313364546
51,50,52,HS+ (no BA),0.005126366320165939,0.0046014181326954895,-5.249481874704497e-4
52,51,53,< HS,0.002504158380936686,0.0015740440251669921,-9.30114355769694e-4
52,51,53,College+,0.003917559901257162,0.003348636651082629,-5.689232501745328e-4
52,51,53,HS+ (no BA),0.005868790437102109,0.006077484563628589,2.0869412652647999e-4
53,52,54,< HS,0.00560156353400703,0.0026331445456141207,-0.002968418988392909
53,52,54,College+,0.0037845423395346596,0.0014594410329895188,-0.002325101306545141
53,52,54,HS+ (no BA),0.005599354527189847,0.006041974541101968,0.00044262001391212093
54,53,55,< HS,0.0074439187027452725,0.00445547556318104,-0.002988443139564232
54,53,55,College+,0.003923124341928369,0.0030279421383556985,-8.951822035726709e-4
54,53,55,HS+ (no BA),0.0059693201886391704,0.005173954639563943,-7.953655490752273e-4
55,54,56,< HS,0.007901366250092213,0.007456505540945414,-4.448607091467986e-4
55,54,56,College+,0.0036091515129835485,0.0014746391730400433,-0.0021345123399435055
55,54,56,HS+ (no BA),0.005171560852944345,0.0037933871709276874,-0.0013781736820166575
56,55,57,< HS,0.004572154246596738,0.009283943342241507,0.004711789095644769
56,55,57,College+,0.003570458040383847,0.0029694812370216527,-6.009768033621945e-4
56,55,57,HS+ (no BA),0.004660178303615527,0.003789372547971753,-8.708057556437738e-4
57,56,58,< HS,0.0029895666010106856,0.0089786188129110291,0.0059890522119003435
57,56,58,College+,0.00473912284794534,0.0019014371478016285,-0.0028376857001437116
57,56,58,HS+ (no BA),0.004140335498712367,0.003659050545368406,-4.8128495334396086e-4
58,57,59,< HS,0.0042347078638841715,0.00815178666454208,0.003917078800657909
58,57,59,College+,0.005400816261965116,0.004175419950659549,-0.0012253963113055674
58,57,59,HS+ (no BA),0.004143778081361072,0.00289677528050926,-0.0012470028008518125
59,58,60,< HS,0.006868197226095276,0.009805229042348373,0.0029370318162530978
59,58,60,College+,0.005826269187030586,0.005716994407174546,-1.0927477985603947e-4
59,58,60,HS+ (no BA),0.004711149460425283,0.003445900080987696,-0.0012652493794375872
60,59,61,< HS,0.009647598273913212,0.01481682454784628,0.005169226273933068
60,59,61,College+,0.005643315599175468,0.005276815894021892,-3.664997051535763e-4
60,59,61,HS+ (no BA),0.005265093601987369,0.0039012599586857838,-0.0013638336433015852
61,60,62,< HS,0.007084280973420456,0.0191558224876118,0.012071541514191344
61,60,62,College+,0.005069077130856797,0.0032580209011543603,-0.0018110562297024364
61,60,62,HS+ (no BA),0.005551253922190923,0.003904722496944151,-0.0016465314252467724
62,61,63,< HS,0.005986087964882686,0.01835397702029534,0.012367889055412654
62,61,63,College+,0.004746167823004485,0.0011296722039691996,-0.0036164956190352852
62,61,63,HS+ (no BA),0.004765515115015094,0.0015609730750284331,-0.003204542039986661
63,62,64,< HS,0.004204839883301812,0.012674278318354642,0.00846943843505283
63,62,64,College+,0.004251069026398561,0.0011937057823154119,-0.003057363244083149
63,62,64,HS+ (no BA),0.0034264740567074574,0.0017721394150770594,-0.001654334641630398
64,63,65,< HS,0.008053783467403154,0.0062832859524749205,-0.001770497514928234
64,63,65,College+,0.004524432595826607,0.0026434151611073966,-0.0018810174347192103
64,63,65,HS+ (no BA),0.0016077059429205748,9.842895599394355e-4,-6.234163829811393e-4
